city,year,weekofyear,total_cases
sj,2008,18,1
sj,2008,19,1
sj,2008,20,1
sj,2008,21,1
sj,2008,22,0
sj,2008,23,1
sj,2008,24,1
sj,2008,25,1
sj,2008,26,1
sj,2008,27,0
sj,2008,28,1
sj,2008,29,0
sj,2008,30,1
sj,2008,31,0
sj,2008,32,1
sj,2008,33,1
sj,2008,34,1
sj,2008,35,0
sj,2008,36,13
sj,2008,37,5
sj,2008,38,1
sj,2008,39,5
sj,2008,40,3
sj,2008,41,3
sj,2008,42,3
sj,2008,43,4
sj,2008,44,2
sj,2008,45,4
sj,2008,46,2
sj,2008,47,3
sj,2008,48,2
sj,2008,49,3
sj,2008,50,1
sj,2008,51,1
sj,2008,52,1
sj,2009,1,2
sj,2009,2,1
sj,2009,3,1
sj,2009,4,0
sj,2009,5,1
sj,2009,6,1
sj,2009,7,0
sj,2009,8,0
sj,2009,9,1
sj,2009,10,1
sj,2009,11,0
sj,2009,12,0
sj,2009,13,0
sj,2009,14,0
sj,2009,15,0
sj,2009,16,0
sj,2009,17,0
sj,2009,18,0
sj,2009,19,0
sj,2009,20,0
sj,2009,21,0
sj,2009,22,0
sj,2009,23,0
sj,2009,24,0
sj,2009,25,0
sj,2009,26,0
sj,2009,27,0
sj,2009,28,0
sj,2009,29,0
sj,2009,30,0
sj,2009,31,0
sj,2009,32,0
sj,2009,33,0
sj,2009,34,1
sj,2009,35,0
sj,2009,36,0
sj,2009,37,0
sj,2009,38,0
sj,2009,39,0
sj,2009,40,0
sj,2009,41,0
sj,2009,42,0
sj,2009,43,0
sj,2009,44,0
sj,2009,45,0
sj,2009,46,0
sj,2009,47,0
sj,2009,48,0
sj,2009,49,0
sj,2009,50,0
sj,2009,51,0
sj,2009,52,0
sj,2010,53,0
sj,2010,1,0
sj,2010,2,0
sj,2010,3,0
sj,2010,4,0
sj,2010,5,0
sj,2010,6,1
sj,2010,7,0
sj,2010,8,0
sj,2010,9,0
sj,2010,10,1
sj,2010,11,0
sj,2010,12,0
sj,2010,13,0
sj,2010,14,0
sj,2010,15,0
sj,2010,16,0
sj,2010,17,0
sj,2010,18,0
sj,2010,19,0
sj,2010,20,0
sj,2010,21,0
sj,2010,22,4
sj,2010,23,0
sj,2010,24,0
sj,2010,25,0
sj,2010,26,0
sj,2010,27,0
sj,2010,28,1
sj,2010,29,0
sj,2010,30,0
sj,2010,31,0
sj,2010,32,4
sj,2010,33,0
sj,2010,34,0
sj,2010,35,0
sj,2010,36,0
sj,2010,37,0
sj,2010,38,0
sj,2010,39,0
sj,2010,40,0
sj,2010,41,0
sj,2010,42,0
sj,2010,43,0
sj,2010,44,0
sj,2010,45,0
sj,2010,46,0
sj,2010,47,0
sj,2010,48,0
sj,2010,49,0
sj,2010,50,0
sj,2010,51,0
sj,2011,52,0
sj,2011,1,0
sj,2011,2,0
sj,2011,3,0
sj,2011,4,0
sj,2011,5,0
sj,2011,6,0
sj,2011,7,0
sj,2011,8,0
sj,2011,9,0
sj,2011,10,0
sj,2011,11,0
sj,2011,12,0
sj,2011,13,0
sj,2011,14,0
sj,2011,15,0
sj,2011,16,0
sj,2011,17,0
sj,2011,18,0
sj,2011,19,0
sj,2011,20,1
sj,2011,21,0
sj,2011,22,0
sj,2011,23,0
sj,2011,24,1
sj,2011,25,0
sj,2011,26,0
sj,2011,27,0
sj,2011,28,0
sj,2011,29,0
sj,2011,30,0
sj,2011,31,0
sj,2011,32,0
sj,2011,33,1
sj,2011,34,1
sj,2011,35,1
sj,2011,36,0
sj,2011,37,0
sj,2011,38,1
sj,2011,39,0
sj,2011,40,0
sj,2011,41,0
sj,2011,42,0
sj,2011,43,0
sj,2011,44,0
sj,2011,45,0
sj,2011,46,1
sj,2011,47,0
sj,2011,48,0
sj,2011,49,0
sj,2011,50,0
sj,2011,51,0
sj,2012,52,0
sj,2012,1,0
sj,2012,2,0
sj,2012,3,0
sj,2012,4,0
sj,2012,5,0
sj,2012,6,0
sj,2012,7,0
sj,2012,8,0
sj,2012,9,0
sj,2012,10,0
sj,2012,11,0
sj,2012,12,0
sj,2012,13,0
sj,2012,14,0
sj,2012,15,0
sj,2012,16,0
sj,2012,17,0
sj,2012,18,0
sj,2012,19,0
sj,2012,20,0
sj,2012,21,0
sj,2012,22,0
sj,2012,23,0
sj,2012,24,0
sj,2012,25,0
sj,2012,26,0
sj,2012,27,0
sj,2012,28,0
sj,2012,29,0
sj,2012,30,0
sj,2012,31,0
sj,2012,32,0
sj,2012,33,0
sj,2012,34,0
sj,2012,35,0
sj,2012,36,1
sj,2012,37,0
sj,2012,38,0
sj,2012,39,1
sj,2012,40,0
sj,2012,41,0
sj,2012,42,1
sj,2012,43,0
sj,2012,44,0
sj,2012,45,0
sj,2012,46,0
sj,2012,47,0
sj,2012,48,0
sj,2012,49,0
sj,2012,50,0
sj,2012,51,0
sj,2013,1,0
sj,2013,2,0
sj,2013,3,0
sj,2013,4,0
sj,2013,5,0
sj,2013,6,0
sj,2013,7,0
sj,2013,8,0
sj,2013,9,0
sj,2013,10,1
sj,2013,11,0
sj,2013,12,0
sj,2013,13,0
sj,2013,14,0
sj,2013,15,0
sj,2013,16,0
sj,2013,17,0
iq,2010,26,72
iq,2010,26,1
iq,2010,26,3
iq,2010,27,72
iq,2010,27,0
iq,2010,27,3
iq,2010,28,72
iq,2010,28,0
iq,2010,28,3
iq,2010,29,76
iq,2010,29,0
